Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:28:59,23.7734,97.9893,75.6438,15.9485,1.92181,28.5541
2019-03-27-16:29:00,23.7734,97.9893,75.4223,15.9485,1.92181,28.5541
2019-03-27-16:29:01,23.7734,97.7723,75.631,15.9485,1.92181,28.5541
2019-03-27-16:29:02,23.7734,97.9853,75.4536,15.9485,1.92181,28.5541
2019-03-27-16:29:03,23.7734,97.7953,75.5809,15.9485,1.92181,28.5541
2019-03-27-16:29:04,23.7734,97.9326,75.5809,15.9485,1.92181,28.5541
2019-03-27-16:29:05,23.7734,97.9326,75.4433,15.9485,1.92181,28.5541
2019-03-27-16:29:06,23.7734,97.7713,75.6598,15.9485,1.92181,28.5541
2019-03-27-16:29:07,23.7734,97.896,75.4394,15.9485,1.92181,28.5541
2019-03-27-16:29:08,23.7734,97.7558,75.6436,15.9485,1.92181,28.5541
2019-03-27-16:29:09,23.7734,97.9403,75.4735,15.9485,1.92181,28.5541
2019-03-27-16:29:10,23.7734,97.9403,75.4735,15.9485,1.92181,28.5541
2019-03-27-16:29:11,23.7734,97.8347,75.4735,15.9485,1.92181,28.5541
2019-03-27-16:29:12,23.7734,97.8347,75.4735,15.9485,1.92181,28.5541
2019-03-27-16:29:13,23.7734,97.8347,75.6284,15.9638,1.92181,28.5541
2019-03-27-16:29:14,23.7734,97.8347,75.456,15.9638,1.92181,28.5541
2019-03-27-16:29:15,23.7734,97.8347,75.7951,15.9638,1.92181,28.5541
2019-03-27-16:29:16,23.7734,97.8347,75.4802,15.9785,1.92181,28.5541
2019-03-27-16:29:17,23.7734,97.8347,75.4802,15.9899,1.92181,28.5541
2019-03-27-16:29:18,23.7734,97.8347,75.5834,15.9899,1.92181,28.5541
2019-03-27-16:29:19,23.7734,97.8347,75.325,15.9899,1.92181,28.5541
2019-03-27-16:29:20,23.7734,98.0793,75.5297,15.9899,1.92181,28.5541
2019-03-27-16:29:21,23.7734,97.958,75.5297,15.9899,1.92181,28.5541
2019-03-27-16:29:22,23.7734,98.0858,75.4249,15.9899,1.92181,28.5541
2019-03-27-16:29:23,23.7734,97.752,75.4249,16,1.92181,28.5541
2019-03-27-16:29:24,23.7734,98.1764,75.4249,16,1.92181,28.5541
2019-03-27-16:29:25,23.7734,97.985,75.4249,16,1.92181,28.5541
2019-03-27-16:29:26,23.7734,98.1449,75.4249,16,1.92181,28.5541
2019-03-27-16:29:27,23.7734,98.0233,75.4249,16,1.92181,28.5541
2019-03-27-16:29:28,23.7734,98.0233,75.4249,16,1.92181,28.5541
2019-03-27-16:29:29,23.7734,97.9158,75.4249,16.0165,1.92181,28.5541
2019-03-27-16:29:30,23.7734,97.7763,75.4249,16.0063,1.92181,28.5541
2019-03-27-16:29:31,23.7734,98.1862,75.4249,16.0063,1.92181,28.5541
