Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:04:21,23.9141,97.2738,75.0752,5.92058
2019-03-27-11:04:22,23.9141,97.2738,75.0752,5.92058
2019-03-27-11:04:23,23.9141,97.5663,75.0752,5.92058
2019-03-27-11:04:24,23.9141,97.4555,75.0752,5.92058
2019-03-27-11:04:25,23.9141,97.2988,75.0752,5.92058
2019-03-27-11:04:26,23.9141,97.5818,75.0752,5.92058
2019-03-27-11:04:27,23.9141,97.5818,75.0752,5.92058
2019-03-27-11:04:28,23.9141,97.3881,75.0752,5.92058
2019-03-27-11:04:29,23.9141,97.6067,75.0752,5.92058
2019-03-27-11:04:30,23.9141,97.2903,75.0752,5.92058
2019-03-27-11:04:31,23.9141,97.4526,75.0752,5.92058
2019-03-27-11:04:32,23.9141,97.2814,75.0752,5.92058
2019-03-27-11:04:33,23.9141,97.2814,74.9724,5.92058
2019-03-27-11:04:34,23.9141,97.2814,74.9724,5.92058
2019-03-27-11:04:35,23.9141,97.2814,75.1385,5.92058
2019-03-27-11:04:36,23.9141,97.2814,75.1385,5.92058
2019-03-27-11:04:37,23.9141,97.2814,75.0248,5.92058
2019-03-27-11:04:38,23.9141,97.7548,75.0248,5.92058
2019-03-27-11:04:39,23.9141,97.2683,75.0248,5.92058
2019-03-27-11:04:40,23.9141,97.432,75.127,5.92058
2019-03-27-11:04:41,23.9141,97.2672,75.127,5.92058
2019-03-27-11:04:42,23.9141,97.2672,74.9875,5.92058
2019-03-27-11:04:43,23.9141,97.3681,75.1044,5.92058
2019-03-27-11:04:44,23.9141,97.3681,75.2064,5.92058
2019-03-27-11:04:45,23.9141,97.3681,74.9522,5.92058
2019-03-27-11:04:46,23.9141,97.2576,74.9522,5.92058
2019-03-27-11:04:47,23.9141,97.4598,75.1255,5.92058
2019-03-27-11:04:48,23.9141,97.3132,74.9784,5.92058
2019-03-27-11:04:49,23.9141,97.3132,74.9784,5.92058
2019-03-27-11:04:50,23.9141,97.591,74.9784,5.92058
2019-03-27-11:04:51,23.7734,97.3531,74.9784,5.92058
2019-03-27-11:04:52,23.7734,97.4761,74.9784,5.92058
2019-03-27-11:04:53,23.7734,97.333,74.9784,5.92058
2019-03-27-11:04:54,23.7734,97.333,74.8749,5.92058
2019-03-27-11:04:55,23.7734,97.4698,75.1745,5.92058
2019-03-27-11:04:56,23.7734,97.2868,75.0238,5.92058
2019-03-27-11:04:57,23.7734,97.5701,75.1983,5.92058
2019-03-27-11:04:58,23.7734,97.3021,74.9224,5.92058
2019-03-27-11:04:59,23.7734,97.3021,74.9224,5.92058
2019-03-27-11:05:00,23.7734,97.3021,75.0719,5.92058
2019-03-27-11:05:01,23.7734,97.5239,74.8527,5.92058
