time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:10:58,1551640258.56,2.13125,96.4104,17.3984,74.5033,9.95721
2019-03-03 14:10:59,1551640259.56,2.13125,96.6101,17.3984,74.3649,9.95721
2019-03-03 14:11:00,1551640260.56,2.13125,96.3524,17.3984,74.5389,9.95721
2019-03-03 14:11:01,1551640261.56,2.13125,96.6033,17.3984,74.3472,9.95721
2019-03-03 14:11:02,1551640262.56,2.13125,96.4675,17.3984,74.1486,9.95721
2019-03-03 14:11:03,1551640263.56,2.13125,96.4675,17.3984,74.5554,9.95721
2019-03-03 14:11:04,1551640264.56,2.13125,96.4675,17.3984,74.3086,9.95721
2019-03-03 14:11:05,1551640265.56,2.13125,96.3549,17.3984,74.5046,9.95721
2019-03-03 14:11:06,1551640266.56,2.13125,96.3549,17.3984,74.2342,9.95721
2019-03-03 14:11:07,1551640267.56,2.13125,96.5154,17.3984,74.2342,9.95721
2019-03-03 14:11:08,1551640268.56,2.13125,96.5154,17.3984,74.4912,9.95721
2019-03-03 14:11:09,1551640269.56,2.13125,96.7303,17.3984,74.3357,9.95721
2019-03-03 14:11:10,1551640270.56,2.13125,96.3531,17.3984,74.4889,9.95721
2019-03-03 14:11:11,1551640271.56,2.13125,96.5266,17.3984,74.3419,9.95721
2019-03-03 14:11:12,1551640272.56,2.13125,96.4066,17.3984,74.4747,9.95721
2019-03-03 14:11:13,1551640273.56,2.13125,96.4066,17.3984,74.2782,9.95721
2019-03-03 14:11:14,1551640274.56,2.13125,96.5089,17.3984,74.2782,9.95721
2019-03-03 14:11:15,1551640275.56,2.13125,96.4037,17.3984,74.4493,9.95721
2019-03-03 14:11:16,1551640276.56,2.13125,96.535,17.3984,74.4493,9.95721
2019-03-03 14:11:17,1551640277.56,2.13125,96.3847,17.3984,74.4493,9.95721
2019-03-03 14:11:19,1551640279.56,2.13125,96.5808,17.3984,74.4493,9.95721
2019-03-03 14:11:20,1551640280.56,2.13125,96.3657,17.3984,74.4493,9.95721
2019-03-03 14:11:21,1551640281.56,2.13125,96.7807,17.3984,74.3294,9.95721
2019-03-03 14:11:22,1551640282.56,2.13125,96.3786,17.3984,74.1936,9.95721
2019-03-03 14:11:23,1551640283.56,2.13125,96.3786,17.3984,74.4139,9.95721
2019-03-03 14:11:24,1551640284.56,2.13125,96.557,17.3984,74.4139,9.95721
2019-03-03 14:11:25,1551640285.56,2.13125,96.3795,17.3984,74.4139,9.95721
2019-03-03 14:11:26,1551640286.56,2.13125,96.5826,17.3984,74.1285,9.95721
2019-03-03 14:11:27,1551640287.56,2.13125,96.3524,17.3984,74.3644,9.95721
2019-03-03 14:11:28,1551640288.56,2.13125,96.6144,17.3984,74.5487,9.95721
2019-03-03 14:11:29,1551640289.56,2.13125,96.6144,17.3984,74.3363,9.95721
2019-03-03 14:11:30,1551640290.56,2.13125,96.4339,17.3984,74.4924,9.95721
2019-03-03 14:11:31,1551640291.56,2.13125,96.557,17.3984,74.3017,9.95721
2019-03-03 14:11:32,1551640292.56,2.13125,96.3971,17.3984,74.3017,9.95721
2019-03-03 14:11:33,1551640293.56,2.13125,96.3971,17.3984,74.4076,9.95721
2019-03-03 14:11:35,1551640295.56,2.13125,96.6222,17.3984,74.2594,9.95721
2019-03-03 14:11:36,1551640296.56,2.13125,96.4928,17.3984,74.2594,9.95721
2019-03-03 14:11:37,1551640297.56,2.13125,96.4928,17.3984,74.4039,9.95721
2019-03-03 14:11:38,1551640298.56,2.13125,96.4928,17.3984,74.2002,9.95721
2019-03-03 14:11:39,1551640299.56,2.13125,96.4928,17.3984,74.3324,9.95721
2019-03-03 14:11:40,1551640300.56,2.13125,96.3534,17.3984,74.3324,9.95721
2019-03-03 14:11:43,1551640303.56,2.13125,96.4552,17.3984,74.3324,9.95721
2019-03-03 14:11:47,1551640307.56,2.13125,96.3412,17.3984,74.4758,9.95721
