time,Unix time,CPT:CM02:2302:DS:PRESS,CHTR:CM02:1455:HV:POWER,CLL:CM02:2601:US:LVL,CLL:CM02:2301:DS:LVL,CTE:CM02:1420:DH:TEMP,CTE:CM02:1418:UH:TEMP,ACCL:L1B:0240:CPLRTEMP1,ACCL:L1B:0240:CPLRTEMP2,CPV:CM02:3001:JT:POS_RBV
2019-03-17 12:09:56,1552838996.56,29.5314,1.91554,72.5471,94.6633,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:57,1552838997.56,29.5314,1.91554,72.7926,94.6633,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:58,1552838998.56,29.5314,1.91554,72.6511,94.4987,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:59,1552838999.56,29.5314,1.91554,72.6511,94.6764,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:10:00,1552839000.56,29.5314,1.91554,72.5179,94.5173,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:10:02,1552839002.16,29.5314,1.91554,72.5179,94.5173,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:02,1552839002.56,29.5314,1.91554,72.8809,94.5173,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:03,1552839003.56,29.5314,1.91554,72.7217,94.6556,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:04,1552839004.56,29.5314,1.91554,72.5874,94.6556,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:05,1552839005.56,29.5314,1.91554,72.7918,94.6556,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:06,1552839006.56,29.5314,1.91554,72.5343,94.4975,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:07,1552839007.56,29.5314,1.91554,72.5343,94.6111,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:08,1552839008.56,29.5314,1.91554,72.6504,94.6111,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:10,1552839010.56,29.5314,1.91554,72.4932,94.4827,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:11,1552839011.56,29.5314,1.91554,72.6388,94.6537,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:12,1552839012.56,29.5314,1.91554,72.6388,94.4804,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:13,1552839013.56,29.5314,1.91554,72.5066,94.4804,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:14,1552839014.56,29.5314,1.91554,72.6984,94.6825,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:16,1552839016.56,29.5314,1.91554,72.7996,94.6825,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:17,1552839017.56,29.5314,1.91554,72.6615,94.5085,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:18,1552839018.56,29.5314,1.91554,72.8237,94.5085,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:19,1552839019.56,29.5314,1.91554,72.8237,94.7215,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:20,1552839020.56,29.5314,1.91554,72.6165,94.7215,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:21,1552839021.56,29.5314,1.91554,72.8768,94.7215,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:22,1552839022.56,29.5314,1.91554,72.7613,94.5254,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:23,1552839023.56,29.5314,1.91554,72.5476,94.5254,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:25,1552839025.56,29.5314,1.91554,72.73,94.7011,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:27,1552839027.56,29.5314,1.91554,72.73,94.5053,5.39695,6.23439,72.3297,73.8772,36.1172
2019-03-17 12:10:28,1552839028.56,29.5314,1.91554,72.73,94.6811,5.39695,6.23439,72.3297,73.8772,35.3203
2019-03-17 12:10:30,1552839030.16,29.5314,1.91554,72.73,94.6811,5.39695,6.23439,72.4464,73.8772,35.3203
2019-03-17 12:10:31,1552839031.56,29.5314,1.91554,72.8513,94.6811,5.39695,6.23439,72.4464,73.8772,35.3203
2019-03-17 12:10:32,1552839032.56,29.5314,1.91554,72.6334,94.5107,5.39695,6.23439,72.4464,73.8772,35.3203
2019-03-17 12:10:33,1552839033.56,29.5314,1.91554,72.5102,94.5107,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:34,1552839034.56,29.5314,1.91554,72.7569,94.5107,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:35,1552839035.56,29.5314,1.91554,72.5285,94.7455,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:36,1552839036.56,29.5314,1.91554,72.8551,94.7455,5.39695,6.23439,72.4464,73.8772,34.9062
