Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-27-11:03:54,24,97.3715,75.0756,20.0,19.36994
2019-03-27-11:03:55,24,97.3715,75.0756,20.0,19.36994
2019-03-27-11:03:56,24,97.5059,75.0756,20.0,19.36994
2019-03-27-11:03:57,24,97.316,75.0756,20.0,19.36994
2019-03-27-11:03:58,24,97.5665,75.2444,20.0,19.36994
2019-03-27-11:03:59,24,97.2775,75.0467,20.0,19.36994
2019-03-27-11:04:00,24,97.2775,75.0467,20.0,19.36994
2019-03-27-11:04:01,24,97.437,75.0467,20.0,19.36994
2019-03-27-11:04:02,24,97.2725,75.0467,20.0,19.36994
2019-03-27-11:04:03,24,97.5131,75.2613,20.0,19.36994
2019-03-27-11:04:04,24,97.3155,75.0567,20.0,19.36994
2019-03-27-11:04:05,24,97.5766,75.0567,20.0,19.36994
2019-03-27-11:04:06,24,97.3104,75.0567,20.0,19.36994
2019-03-27-11:04:07,24,97.4942,75.2057,20.0,19.36994
2019-03-27-11:04:08,24,97.4942,75.2057,20.0,19.36994
2019-03-27-11:04:09,24,97.6073,75.0752,20.0,19.36994
2019-03-27-11:04:10,24,97.4333,75.0752,20.0,19.36994
2019-03-27-11:04:11,24,97.4333,75.0752,20.0,19.36994
2019-03-27-11:04:12,24,97.5913,75.0752,20.0,19.36994
2019-03-27-11:04:13,24,97.3425,75.0752,20.0,19.36994
2019-03-27-11:04:14,24,97.3425,75.0752,20.0,19.36994
2019-03-27-11:04:15,24,97.3425,75.0752,20.0,19.36994
2019-03-27-11:04:16,24,97.485,75.0752,20.0,19.36994
2019-03-27-11:04:17,24,97.2864,75.0752,20.0,19.36994
2019-03-27-11:04:18,24,97.6265,75.0752,20.0,19.36994
2019-03-27-11:04:19,24,97.2738,75.0752,20.0,19.36994
2019-03-27-11:04:20,24,97.2738,75.0752,20.0,19.36994
2019-03-27-11:04:21,24,97.2738,75.0752,20.0,19.36994
2019-03-27-11:04:22,24,97.2738,75.0752,20.0,19.36994
2019-03-27-11:04:23,24,97.5663,75.0752,20.0,19.36994
2019-03-27-11:04:24,24,97.4555,75.0752,20.0,19.36994
2019-03-27-11:04:25,24,97.2988,75.0752,20.0,19.36994
2019-03-27-11:04:26,24,97.5818,75.0752,20.0,19.36994
2019-03-27-11:04:27,24,97.5818,75.0752,20.0,19.36994
2019-03-27-11:04:28,24,97.3881,75.0752,20.0,19.36994
2019-03-27-11:04:29,24,97.6067,75.0752,20.0,19.36994
2019-03-27-11:04:30,24,97.2903,75.0752,20.0,19.36994
2019-03-27-11:04:31,24,97.4526,75.0752,20.0,19.36994
2019-03-27-11:04:32,24,97.2814,75.0752,20.0,19.36994
2019-03-27-11:04:33,24,97.2814,74.9724,20.0,19.36994
2019-03-27-11:04:34,24,97.2814,74.9724,20.0,19.36994
2019-03-27-11:04:35,24,97.2814,75.1385,20.0,19.36994
2019-03-27-11:04:36,24,97.2814,75.1385,20.0,19.36994
2019-03-27-11:04:37,24,97.2814,75.0248,20.0,19.36994
2019-03-27-11:04:38,24,97.7548,75.0248,20.0,19.36994
2019-03-27-11:04:39,24,97.2683,75.0248,20.0,19.36994
2019-03-27-11:04:40,24,97.432,75.127,20.0,19.36994
2019-03-27-11:04:41,24,97.2672,75.127,20.0,19.36994
2019-03-27-11:04:42,24,97.2672,74.9875,20.0,19.36994
2019-03-27-11:04:43,24,97.3681,75.1044,20.0,19.36994
2019-03-27-11:04:44,24,97.3681,75.2064,20.0,19.36994
2019-03-27-11:04:45,24,97.3681,74.9522,20.0,19.36994
2019-03-27-11:04:46,24,97.2576,74.9522,20.0,19.36994
2019-03-27-11:04:47,24,97.4598,75.1255,20.0,19.36994
2019-03-27-11:04:48,24,97.3132,74.9784,20.0,19.36994
2019-03-27-11:04:49,24,97.3132,74.9784,20.0,19.36994
2019-03-27-11:04:50,24,97.591,74.9784,20.0,19.36994
2019-03-27-11:04:51,24,97.3531,74.9784,20.0,19.36994
2019-03-27-11:04:52,24,97.4761,74.9784,20.0,19.36994
2019-03-27-11:04:53,24,97.333,74.9784,20.0,19.36994
2019-03-27-11:04:54,24,97.333,74.8749,20.0,19.36994
2019-03-27-11:04:55,24,97.4698,75.1745,20.0,19.36994
2019-03-27-11:04:56,24,97.2868,75.0238,20.0,19.36994
2019-03-27-11:04:57,24,97.5701,75.1983,20.0,19.36994
2019-03-27-11:04:58,24,97.3021,74.9224,20.0,19.36994
2019-03-27-11:04:59,24,97.3021,74.9224,20.0,19.36994
2019-03-27-11:05:00,24,97.3021,75.0719,20.0,19.36994
2019-03-27-11:05:01,24,97.5239,74.8527,20.0,19.36994
