time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:03:14,1550926994.28,48.543,4.375,14.9379
2019-02-23 08:03:15,1550926995.29,48.543,4.875,14.9379
2019-02-23 08:03:17,1550926997.29,48.543,4.03125,14.9379
2019-02-23 08:03:17,1550926997.57,47.3945,4.03125,14.9379
2019-02-23 08:03:18,1550926998.30,47.3945,4.3125,14.9379
2019-02-23 08:03:19,1550926999.30,47.3945,4.71875,14.9379
2019-02-23 08:03:20,1550927000.30,47.3945,4.09375,14.9379
2019-02-23 08:03:22,1550927002.31,47.3945,4.71875,14.9379
2019-02-23 08:03:23,1550927003.31,47.3945,4.3125,14.9379
2019-02-23 08:03:24,1550927004.31,47.3945,3.96875,14.9379
2019-02-23 08:03:25,1550927005.31,47.3945,4.625,14.9379
2019-02-23 08:03:26,1550927006.32,47.3945,4.5,14.9379
2019-02-23 08:03:27,1550927007.32,47.3945,3.9375,14.9379
2019-02-23 08:03:28,1550927008.32,47.3945,4.46875,14.9379
2019-02-23 08:03:29,1550927009.32,47.3945,4.75,14.9379
2019-02-23 08:03:30,1550927010.33,47.3945,4.03125,14.9379
2019-02-23 08:03:31,1550927011.33,47.3945,4.21875,14.9379
2019-02-23 08:03:32,1550927012.33,47.3945,4.84375,14.9379
2019-02-23 08:03:33,1550927013.34,47.3945,4.25,14.9379
2019-02-23 08:03:34,1550927014.34,47.3945,4.03125,14.9379
2019-02-23 08:03:35,1550927015.34,47.3945,4.78125,14.9379
2019-02-23 08:03:36,1550927016.34,47.3945,4.5,14.9379
2019-02-23 08:03:37,1550927017.35,47.3945,4.15625,14.9379
2019-02-23 08:03:37,1550927017.57,48.1133,4.15625,14.9379
2019-02-23 08:03:38,1550927018.35,48.1133,4.8125,14.9379
2019-02-23 08:03:40,1550927020.36,48.1133,4.25,14.9379
2019-02-23 08:03:41,1550927021.36,48.1133,4.625,14.9379
2019-02-23 08:03:42,1550927022.36,48.1133,5.0625,14.9379
2019-02-23 08:03:43,1550927023.36,48.1133,4.40625,14.9379
2019-02-23 08:03:45,1550927025.37,48.1133,5.0625,14.9379
2019-02-23 08:03:46,1550927026.37,48.1133,4.625,14.9379
2019-02-23 08:03:47,1550927027.37,48.1133,4.21875,14.9379
2019-02-23 08:03:48,1550927028.38,48.1133,4.9375,14.9379
